;Learning_rate;Momentum;Number_of_hidden_layers;Number_of_nodes_per_layer;Time;accuracies;losses;AVG_loss;AVG_acc
36;0.0001;0.6;3;[16, 32, 64, 10];9.095162630081177;[0.11596667021512985, 0.1847500056028366, 0.25653332471847534, 0.3069666624069214];[2.3033039569854736, 2.2725589275360107, 2.23097562789917, 2.1678318977355957];2.1207406520843506;0.3183000087738037
37;0.0001;0.6;3;[16, 64, 32, 10];8.960860013961792;[0.13231666386127472, 0.19726666808128357, 0.2683166563510895, 0.32641667127609253];[2.288252115249634, 2.258788824081421, 2.2165844440460205, 2.1558279991149902];2.1150496006011963;0.35040000081062317
38;0.0001;0.6;3;[32, 16, 64, 10];9.464866399765015;[0.1412999927997589, 0.28200000524520874, 0.38464999198913574, 0.460750013589859];[2.2873284816741943, 2.223011016845703, 2.1362783908843994, 2.0080082416534424];1.9157812595367432;0.4952000081539154
39;0.0001;0.6;3;[32, 64, 16, 10];9.457505464553833;[0.14329999685287476, 0.25995001196861267, 0.31716665625572205, 0.412200003862381];[2.267181396484375, 2.150299310684204, 1.9916954040527344, 1.8149040937423706];1.7178304195404053;0.47130000591278076
40;0.0001;0.6;3;[64, 16, 32, 10];10.00357985496521;[0.15743333101272583, 0.20953333377838135, 0.24944999814033508, 0.2749166786670685];[2.275315284729004, 2.2216124534606934, 2.1646053791046143, 2.098942518234253];2.0619707107543945;0.29319998621940613
41;0.0001;0.6;3;[64, 32, 16, 10];10.08833932876587;[0.11124999821186066, 0.19668333232402802, 0.2777000069618225, 0.3368000090122223];[2.278775215148926, 2.2179927825927734, 2.1469674110412598, 2.060041666030884];2.00154972076416;0.3617999851703644
42;0.0001;0.7;3;[16, 32, 64, 10];8.746098041534424;[0.1446000039577484, 0.1998666673898697, 0.24605000019073486, 0.2819499969482422];[2.3065173625946045, 2.268171787261963, 2.2114579677581787, 2.1139261722564697];2.0411453247070312;0.31119999289512634
43;0.0001;0.7;3;[16, 64, 32, 10];8.930253505706787;[0.16588333249092102, 0.3044833242893219, 0.4353666603565216, 0.5374166369438171];[2.268859624862671, 2.199108839035034, 2.0754106044769287, 1.8593450784683228];1.7251861095428467;0.569100022315979
44;0.0001;0.7;3;[32, 16, 64, 10];10.646905422210693;[0.13269999623298645, 0.21176666021347046, 0.2711000144481659, 0.3461333215236664];[2.290262460708618, 2.2408647537231445, 2.165773391723633, 2.0631303787231445];2.0043773651123047;0.3919000029563904
45;0.0001;0.7;3;[32, 64, 16, 10];10.388592004776001;[0.17225000262260437, 0.26018333435058594, 0.3217833340167999, 0.4267333447933197];[2.252385139465332, 2.1368730068206787, 1.9828193187713623, 1.7973016500473022];1.6897125244140625;0.4828000068664551
