;Learning_rate;Momentum;Number_of_hidden_layers;Number_of_nodes_per_layer;Time;training_accuracies;training_losses;test_loss;test_acc;max_acc
44;0.1;0.3;3;[32, 16, 32, 10];19.803125858306885;[0.8843166828155518, 0.9430666565895081, 0.9551833271980286, 0.9607333540916443];[0.37271013855934143, 0.18632195889949799, 0.14936915040016174, 0.13063785433769226];0.15584075450897217;0.9553999900817871;0.9707000255584717
45;1.0;0.7;3;[64, 32, 32, 10];22.220916986465454;[0.10233332961797714, 0.09989999979734421, 0.10223333537578583, 0.1031833365559578];[2.370222806930542, 2.3248090744018555, 2.3266444206237793, 2.3251471519470215];2.311426877975464;0.09799999743700027;0.9707000255584717
46;1.0;0.5;3;[16, 64, 32, 10];16.33481526374817;[0.10288333147764206, 0.10750000178813934, 0.10551666468381882, 0.139766663312912];[2.3153815269470215, 2.307260274887085, 2.3150665760040283, 2.229663610458374];2.3112120628356934;0.10100000351667404;0.9707000255584717
47;0.1;0.9;3;[64, 32, 16, 10];21.67006540298462;[0.8742499947547913, 0.9177166819572449, 0.2532833218574524, 0.1040833368897438];[0.479633092880249, 0.35430440306663513, 2.138132333755493, 2.3079640865325928];2.303708791732788;0.11349999904632568;0.9707000255584717
48;0.0001;0.5;3;[32, 16, 64, 10];19.62176823616028;[0.10596666485071182, 0.16083332896232605, 0.22726666927337646, 0.29081666469573975];[2.292388439178467, 2.2565670013427734, 2.2112717628479004, 2.1510086059570312];2.106638193130493;0.3255000114440918;0.9707000255584717
49;1.0;0.7;3;[64, 16, 32, 10];22.932366847991943;[0.10506666451692581, 0.10284999758005142, 0.10384999960660934, 0.10293333232402802];[2.325028657913208, 2.3256235122680664, 2.3247077465057373, 2.325364351272583];2.3296613693237305;0.10279999673366547;0.9707000255584717
50;0.1;0.1;3;[16, 64, 32, 10];16.74919056892395;[0.8721333146095276, 0.9338499903678894, 0.9459666609764099, 0.9517499804496765];[0.40705958008766174, 0.21652129292488098, 0.17883647978305817, 0.15998828411102295];0.15301218628883362;0.954800009727478;0.9707000255584717
51;0.0001;0.9;3;[32, 16, 32, 10];20.186184883117676;[0.15516667068004608, 0.39633333683013916, 0.637066662311554, 0.755133330821991];[2.219517230987549, 1.9484530687332153, 1.436545968055725, 0.9240776300430298];0.7320601344108582;0.8082000017166138;0.9707000255584717
52;1.0;0.0;3;[64, 16, 32, 10];22.49784207344055;[0.10373333096504211, 0.10315000265836716, 0.10418333113193512, 0.10369999706745148];[2.311741828918457, 2.308931827545166, 2.3085997104644775, 2.308426856994629];2.3087031841278076;0.11349999904632568;0.9707000255584717
53;1.0;0.8;3;[16, 16, 64, 10];16.722432613372803;[0.10294999927282333, 0.10383333265781403, 0.101583331823349, 0.10083333402872086];[2.342651605606079, 2.3368542194366455, 2.3371822834014893, 2.338649272918701];2.334078311920166;0.10090000182390213;0.9707000255584717
54;1.0;0.0;3;[32, 32, 32, 10];20.08963418006897;[0.10786666721105576, 0.2137666642665863, 0.20461666584014893, 0.2048666626214981];[2.3282012939453125, 2.021200180053711, 2.042357921600342, 2.0373053550720215];2.031355619430542;0.21250000596046448;0.9707000255584717
